SkuID,UnitLength,UnitWidth,UnitHeight,UnitWeight,CaseQuantity,CaseLength,CaseWidth,CaseHeight,CaseWeight,,
"65,976RUB",35.6,21.1,17.6,1021,4,37.6,42.5,37.4,4740,,
"65,978RUB",43,17.6,8.4,408,4,44.2,36.6,18.6,2109,,
"65,980RUB",43,17.6,8.7,445,4,43.2,36.9,17.8,2123,,
"65,982RUB",31,17.6,8.7,431,4,36.9,31.8,18.6,2200,,
"65,984RUB",30.8,17.8,8.9,431,4,37.1,31.5,18.3,2223,,
"65,986RUB",35.4,17.6,8.7,726,4,36.9,36.6,17.6,3402,,
"65,988RUB",35.4,18.1,8.4,726,4,36.9,36.6,18.1,3379,,
"65,990RUB",34.8,17.1,6.7,431,4,36.6,26,20.1,2177,,
"65,992RUB",35.4,17.1,6.1,476,4,37.4,20.4,24.7,2177,,
"65,994RUB",35.4,20.9,17.6,1678,4,37.1,43,36.6,7530,,
"65,996RUB",35.9,21.6,17.8,1746,4,37.1,44.2,36.6,7847,,
"66,031RUB",30.5,11.5,7.7,454,4,31,28,12.7,907,,
"66,040RUB",31.3,28,12.7,803,4,49.6,31.8,22.9,3334,,
"68,503RUB",32.6,32.1,26,1179,1,32.6,32.1,26,1179,,
"76,600RUB",135.9,116.9,1.3,6350,1,135.9,116.9,1.3,6350,,
"76,620RUB",155,119.4,1.3,6804,1,155,119.4,1.3,6804,,
